ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
1,"Female",13,"Other Services Except Public Administration",2015,"2015",15475,340,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",14,"Public Administration",2015,"2015",43676,2256,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2014,"2014",19824,2398,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",2,"Construction",2014,"2014",22382,362,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",3,"Manufacturing",2014,"2014",29374,1127,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",4,"Wholesale Trade",2014,"2014",32403,1121,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",5,"Retail Trade",2014,"2014",23417,588,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",6,"Transportation & Warehousing, & Utilities",2014,"2014",32705,1043,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",7,"Information",2014,"2014",61153,1359,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2014,"2014",51906,1380,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2014,"2014",37012,850,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2014,"2014",40026,1056,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2014,"2014",21654,339,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",13,"Other Services Except Public Administration",2014,"2014",22357,453,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",14,"Public Administration",2014,"2014",65174,3285,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2014,"2014",16315,1265,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",2,"Construction",2014,"2014",30897,1822,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",3,"Manufacturing",2014,"2014",21046,565,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",4,"Wholesale Trade",2014,"2014",27851,2512,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",5,"Retail Trade",2014,"2014",18634,526,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2014,"2014",36089,1810,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",7,"Information",2014,"2014",51823,1297,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2014,"2014",41836,930,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2014,"2014",35073,928,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2014,"2014",30897,362,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2014,"2014",17498,457,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",13,"Other Services Except Public Administration",2014,"2014",15234,387,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",14,"Public Administration",2014,"2014",43067,2148,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2013,"2013",20629,1373,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",2,"Construction",2013,"2013",22194,442,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",3,"Manufacturing",2013,"2013",29246,1086,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",4,"Wholesale Trade",2013,"2013",31795,958,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",5,"Retail Trade",2013,"2013",23430,523,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",6,"Transportation & Warehousing, & Utilities",2013,"2013",32752,1201,"Los Angeles, CA","16000US0644000","los-angeles-ca"
